Segment,Recency,Frequency,Monetary
Loyal Customers,44,4,802.09
Lost / Low Value,50,1,49.97
Hibernating,65,1,300.23
Occasional / At Risk,25,5,717.84
Loyal Customers,33,3,1022.21
Occasional / At Risk,59,2,317.8
Occasional / At Risk,73,4,735.0
Lost / Low Value,304,1,80.70000000000002
Lost / Low Value,46,1,108.83999999999999
Champions (VIP),18,8,2953.07
Occasional / At Risk,38,2,278.04
Loyal Customers,19,2,202.97
Hibernating,187,2,109.71000000000001
Hibernating,52,1,110.8
Champions (VIP),4,11,1986.7300000000002
Loyal Customers,137,5,712.24
Champions (VIP),4,25,9401.32
Hibernating,19,1,174.6
Loyal Customers,16,5,1175.8
Loyal Customers,41,8,754.76
Champions (VIP),12,7,2751.17
Loyal Customers,8,4,657.29
Occasional / At Risk,26,2,42.44
Occasional / At Risk,67,3,334.8
Occasional / At Risk,41,3,460.18
Hibernating,101,1,161.49
Champions (VIP),5,15,2246.76
Lost / Low Value,277,2,119.4
Hibernating,33,1,334.69
Hibernating,15,2,268.2
Loyal Customers,64,7,1584.3500000000001
Loyal Customers,2,2,376.18
Hibernating,369,1,292.18
Hibernating,312,4,216.19
Occasional / At Risk,199,4,423.48
Loyal Customers,2,2,348.28
Hibernating,93,1,258.55
Lost / Low Value,60,1,104.5
Lost / Low Value,81,1,86.14
Loyal Customers,157,2,330.27
Hibernating,227,1,391.77
Hibernating,253,2,249.65
Lost / Low Value,150,1,21.85
Lost / Low Value,194,2,90.53
Loyal Customers,1,5,683.53
Lost / Low Value,369,1,43.5
Hibernating,24,1,337.28
Loyal Customers,17,3,270.78
Loyal Customers,10,7,2050.44
Hibernating,8,1,128.23
Loyal Customers,20,7,1247.79
Loyal Customers,4,3,756.47
Lost / Low Value,174,1,191.94
Champions (VIP),1,8,1154.23
Occasional / At Risk,178,2,254.67000000000002
Loyal Customers,16,7,1076.44
Lost / Low Value,248,1,60.550000000000004
Hibernating,191,2,334.23
Loyal Customers,20,2,483.74
Hibernating,154,3,154.6
Hibernating,173,1,151.06
Lost / Low Value,373,1,208.10000000000002
Lost / Low Value,373,1,78.3
Lost / Low Value,194,1,168.9
Hibernating,67,1,393.63
Champions (VIP),4,8,1591.41
Loyal Customers,21,3,1035.05
Lost / Low Value,239,1,91.04
Lost / Low Value,64,1,145.35
Occasional / At Risk,112,5,297.58
Occasional / At Risk,90,11,834.16
Hibernating,134,1,255.54
Lost / Low Value,277,1,149.9
Lost / Low Value,365,1,13.6
Hibernating,83,1,349.64
Loyal Customers,8,2,931.84
Occasional / At Risk,17,2,349.6
Loyal Customers,32,4,1586.91
Occasional / At Risk,9,2,583.27
Loyal Customers,34,4,670.0400000000001
Loyal Customers,15,8,955.93
Champions (VIP),24,14,3714.51
Hibernating,32,1,399.04
Lost / Low Value,74,1,87.85
Loyal Customers,20,2,434.36
Loyal Customers,17,4,752.0
Loyal Customers,23,2,352.28
Occasional / At Risk,3,3,272.7
Hibernating,304,1,314.1
Occasional / At Risk,53,7,268.1
Lost / Low Value,367,1,34.4
Champions (VIP),39,7,2880.81
Hibernating,84,1,371.01
Hibernating,165,2,375.78000000000003
Loyal Customers,17,2,633.32
Hibernating,77,1,942.58
Loyal Customers,89,3,1250.0
Loyal Customers,25,8,2328.48
Loyal Customers,22,4,1119.91
Champions (VIP),3,9,1815.66
Occasional / At Risk,123,2,569.1800000000001
Lost / Low Value,30,1,126.11999999999999
Loyal Customers,12,5,506.44
Hibernating,19,1,112.13
Loyal Customers,44,2,604.01
Lost / Low Value,4,1,27.04
Champions (VIP),9,6,2239.98
Hibernating,55,1,342.37
Loyal Customers,88,6,792.23
Champions (VIP),37,5,2464.11
Loyal Customers,30,5,1628.8700000000001
Loyal Customers,12,4,470.06
Lost / Low Value,211,1,101.4
Loyal Customers,48,4,1592.6200000000001
Occasional / At Risk,24,3,428.26
Loyal Customers,22,4,665.1600000000001
Hibernating,246,3,392.4
Champions (VIP),8,16,3224.48
Loyal Customers,35,3,984.87
Loyal Customers,8,7,869.9
Loyal Customers,38,3,554.58
Loyal Customers,4,3,566.56
Champions (VIP),3,8,1246.56
Hibernating,47,1,172.03
Occasional / At Risk,39,2,332.46
Champions (VIP),47,9,2397.83
Loyal Customers,17,3,707.01
Hibernating,260,1,532.28
Loyal Customers,46,3,548.86
Hibernating,12,1,219.11
Hibernating,30,1,423.15999999999997
Hibernating,43,1,236.09
Occasional / At Risk,137,3,64.75
Occasional / At Risk,66,16,1324.35
Hibernating,310,1,312.85
Loyal Customers,92,2,434.05
Champions (VIP),6,20,6909.12
Occasional / At Risk,196,3,407.1
Loyal Customers,87,2,607.69
Loyal Customers,270,3,675.4200000000001
Occasional / At Risk,8,3,431.98
Loyal Customers,65,3,1018.86
Loyal Customers,22,5,1095.27
Occasional / At Risk,38,4,598.74
Loyal Customers,120,4,1133.4
Lost / Low Value,373,2,256.44
Loyal Customers,40,3,973.99
Lost / Low Value,174,1,77.48
Hibernating,54,1,303.54
Loyal Customers,33,2,1075.45
Hibernating,145,1,608.5600000000001
Lost / Low Value,221,1,78.0
Hibernating,45,1,485.85
Champions (VIP),16,7,1955.47
Loyal Customers,66,6,1303.51
Loyal Customers,10,4,571.52
Hibernating,260,1,335.32
Hibernating,365,1,317.84000000000003
Loyal Customers,17,5,1085.74
Loyal Customers,22,2,852.15
Hibernating,45,1,299.29
Lost / Low Value,288,1,138.15
Champions (VIP),3,9,2002.96
Lost / Low Value,284,1,79.2
Occasional / At Risk,17,3,98.34
Occasional / At Risk,82,2,217.16
Loyal Customers,56,5,2321.37
Occasional / At Risk,101,2,606.14
Hibernating,299,1,397.58
Loyal Customers,23,5,852.4
Occasional / At Risk,59,5,794.0600000000001
Hibernating,155,2,315.06
Loyal Customers,115,3,752.5600000000001
Lost / Low Value,107,1,17.0
Loyal Customers,12,4,847.93
Lost / Low Value,264,1,124.62
Lost / Low Value,240,1,110.4
Loyal Customers,88,7,1107.51
Loyal Customers,50,3,731.9
Hibernating,71,1,1261.7
Loyal Customers,42,3,1562.74
Occasional / At Risk,80,4,644.6
Hibernating,62,1,239.41
Lost / Low Value,249,1,165.6
Lost / Low Value,66,1,108.38
Occasional / At Risk,29,6,577.9000000000001
Hibernating,85,1,811.58
Occasional / At Risk,219,2,208.32
Loyal Customers,45,3,1232.15
Occasional / At Risk,143,2,100.7
Hibernating,183,1,110.15
Lost / Low Value,171,1,135.75000000000003
Champions (VIP),10,8,1512.38
Hibernating,212,1,446.98
Hibernating,190,1,195.31
Occasional / At Risk,8,2,363.96000000000004
Hibernating,59,3,588.1
Loyal Customers,57,2,817.51
Occasional / At Risk,73,4,342.18
Hibernating,52,1,254.88
Lost / Low Value,317,1,113.4
Hibernating,367,1,273.45
Loyal Customers,29,4,4571.2300000000005
Hibernating,39,1,656.25
Loyal Customers,18,5,1819.27
Loyal Customers,52,5,1984.6399999999999
Champions (VIP),4,31,5853.43
Occasional / At Risk,22,2,586.29
Hibernating,263,1,313.7
Occasional / At Risk,60,3,535.94
Occasional / At Risk,19,3,635.41
Occasional / At Risk,66,2,501.9
Hibernating,88,1,430.70000000000005
Hibernating,250,1,356.04
Champions (VIP),3,6,1948.19
Champions (VIP),9,11,3235.35
Hibernating,204,2,557.13
Hibernating,134,1,243.08
Occasional / At Risk,5,2,251.24
Loyal Customers,43,5,1841.32
Hibernating,269,1,712.46
Loyal Customers,50,5,1463.53
Champions (VIP),9,9,2681.6400000000003
Occasional / At Risk,16,3,369.95000000000005
Hibernating,282,1,348.2
Lost / Low Value,65,1,173.09999999999997
Champions (VIP),2,19,4613.87
Lost / Low Value,252,1,11.9
Lost / Low Value,365,1,50.1
Loyal Customers,17,3,678.54
Champions (VIP),11,23,1838.22
Loyal Customers,8,4,1651.8200000000002
Loyal Customers,51,6,1598.52
Lost / Low Value,59,1,73.2
Loyal Customers,95,5,1091.31
Loyal Customers,16,6,1216.6200000000001
Hibernating,126,2,313.0
Loyal Customers,94,4,885.09
Hibernating,50,1,179.35
Lost / Low Value,138,1,150.1
Lost / Low Value,61,1,177.58
Loyal Customers,100,8,1928.33
Lost / Low Value,73,1,163.94
Lost / Low Value,72,1,72.8
Hibernating,67,1,338.71000000000004
Occasional / At Risk,64,6,722.58
Occasional / At Risk,17,2,473.26
Champions (VIP),23,12,3643.08
Champions (VIP),32,15,5428.56
Loyal Customers,45,4,910.87
Occasional / At Risk,16,2,125.57999999999998
Lost / Low Value,40,1,94.99000000000001
Champions (VIP),3,11,2661.2200000000003
Hibernating,237,1,280.63
Hibernating,75,1,286.28000000000003
Loyal Customers,4,2,854.4200000000001
Champions (VIP),3,4,1739.92
Hibernating,361,1,247.52
Occasional / At Risk,59,4,592.9
Hibernating,23,1,384.18
Loyal Customers,31,4,603.3299999999999
Loyal Customers,55,4,502.71000000000004
Hibernating,25,1,310.38
Loyal Customers,45,2,534.06
Loyal Customers,89,4,744.28
Champions (VIP),2,14,1664.8
Hibernating,89,1,329.22
Occasional / At Risk,19,2,552.09
Lost / Low Value,79,1,82.5
Loyal Customers,171,3,653.45
Lost / Low Value,81,1,186.9
Hibernating,267,1,605.88
Occasional / At Risk,235,2,288.45000000000005
Loyal Customers,30,5,1186.38
Loyal Customers,37,3,668.08
Hibernating,318,1,620.7
Loyal Customers,57,4,1072.85
Loyal Customers,45,5,1077.8700000000001
Occasional / At Risk,203,3,181.20000000000002
Lost / Low Value,225,1,314.22
Loyal Customers,87,2,836.6
Hibernating,190,2,516.53
Loyal Customers,44,4,795.88
Occasional / At Risk,71,2,373.38
Occasional / At Risk,41,4,595.71
Hibernating,78,1,416.3
Occasional / At Risk,57,2,363.2
Loyal Customers,24,2,2055.47
Champions (VIP),10,13,2287.15
Champions (VIP),8,7,3221.08
Hibernating,34,2,227.4
Loyal Customers,212,2,1475.05
Loyal Customers,24,3,1217.76
Lost / Low Value,170,1,56.28
Lost / Low Value,62,1,152.94
Loyal Customers,53,5,1103.39
Occasional / At Risk,261,2,373.54
Loyal Customers,67,2,2191.18
Champions (VIP),17,8,2180.61
Lost / Low Value,267,1,169.95000000000002
Loyal Customers,45,5,3245.31
Hibernating,51,1,427.45000000000005
Loyal Customers,17,4,597.09
Champions (VIP),9,9,4018.51
Loyal Customers,74,7,607.99
Hibernating,71,2,495.2
Hibernating,353,1,685.99
Loyal Customers,16,4,1221.8500000000001
Hibernating,117,1,411.7
Hibernating,373,1,194.2
Hibernating,197,1,322.12
Lost / Low Value,177,1,177.0
Hibernating,100,1,211.03
Loyal Customers,21,3,1393.0
Lost / Low Value,72,1,121.5
Lost / Low Value,340,1,129.75
Champions (VIP),6,5,1320.41
Loyal Customers,31,2,759.84
Lost / Low Value,170,1,125.22000000000001
Hibernating,122,1,282.35
Champions (VIP),22,10,1877.74
Loyal Customers,10,4,967.26
Hibernating,269,1,277.34000000000003
Occasional / At Risk,23,3,385.2
Hibernating,127,1,233.22
Loyal Customers,26,3,3904.43
Hibernating,139,1,361.21999999999997
Loyal Customers,214,6,585.17
Loyal Customers,106,2,666.77
Loyal Customers,18,2,568.89
Occasional / At Risk,3,2,203.57
Lost / Low Value,331,1,155.52
Loyal Customers,64,7,1803.72
Loyal Customers,120,3,1055.63
Hibernating,35,1,304.75
Lost / Low Value,218,1,404.40000000000003
Hibernating,172,2,922.64
Occasional / At Risk,72,5,346.8
Loyal Customers,1,2,306.85
Hibernating,128,3,369.89
Occasional / At Risk,47,3,560.74
Champions (VIP),6,14,1310.02
Champions (VIP),14,6,3170.06
Loyal Customers,18,3,122.66
Loyal Customers,28,7,1231.9
Lost / Low Value,37,1,133.15
Lost / Low Value,157,1,199.85
Lost / Low Value,284,1,30.45
Hibernating,107,1,465.44
Loyal Customers,25,4,1040.37
Occasional / At Risk,75,4,193.96
Hibernating,16,2,278.83
Lost / Low Value,158,1,101.10000000000001
Hibernating,44,1,421.76
Loyal Customers,11,2,620.58
Loyal Customers,32,7,1125.71
Lost / Low Value,291,1,12.65
Loyal Customers,21,4,932.7
Lost / Low Value,333,1,153.9
Loyal Customers,18,2,494.44
Champions (VIP),18,16,2745.05
Hibernating,63,2,361.40000000000003
Hibernating,198,3,211.77
Occasional / At Risk,33,3,538.6800000000001
Champions (VIP),1,4,2027.5
Occasional / At Risk,7,8,429.36
Champions (VIP),5,6,2929.14
Loyal Customers,10,4,711.36
Loyal Customers,32,5,659.3000000000001
Lost / Low Value,53,1,75.36
Loyal Customers,12,2,467.64
Occasional / At Risk,18,7,547.61
Hibernating,19,1,281.90000000000003
Loyal Customers,37,2,696.76
Loyal Customers,2,2,421.07
Loyal Customers,18,3,1306.96
Loyal Customers,82,4,977.21
Hibernating,33,2,271.48
Loyal Customers,66,2,396.28000000000003
Loyal Customers,9,2,721.59
Occasional / At Risk,247,3,362.95
Champions (VIP),4,4,2006.68
Hibernating,61,1,142.79
Loyal Customers,75,2,515.89
Occasional / At Risk,90,2,502.2
Loyal Customers,60,3,478.01
Loyal Customers,29,2,273.07
Lost / Low Value,323,1,94.36
Occasional / At Risk,53,4,807.51
Hibernating,270,1,210.24
Champions (VIP),2,13,3025.84
Loyal Customers,57,5,786.44
Loyal Customers,61,5,1270.64
Loyal Customers,154,2,972.95
Loyal Customers,19,2,324.2
Hibernating,95,1,271.08
Champions (VIP),1,12,2683.04
Hibernating,265,2,208.6
Lost / Low Value,312,1,177.5
Hibernating,70,1,296.45
Lost / Low Value,302,2,74.85
Hibernating,19,1,146.4
Champions (VIP),13,9,1638.98
Loyal Customers,36,5,1737.14
Occasional / At Risk,19,2,203.75
Hibernating,54,1,135.99
Hibernating,57,1,247.25
Occasional / At Risk,22,2,31.6
Hibernating,44,1,181.62
Loyal Customers,27,3,752.3
Loyal Customers,45,3,490.12
Occasional / At Risk,113,6,522.09
Champions (VIP),17,37,3487.44
Hibernating,25,1,268.78
Lost / Low Value,191,1,70.56
Lost / Low Value,302,1,157.4
Champions (VIP),2,10,1640.4
Lost / Low Value,263,2,166.06
Lost / Low Value,106,1,4.95
Lost / Low Value,57,1,200.05
Hibernating,213,3,547.68
Lost / Low Value,64,1,111.0
Hibernating,28,1,120.66
Loyal Customers,29,7,1192.4
Loyal Customers,6,5,748.6
Champions (VIP),8,5,3503.27
Occasional / At Risk,67,2,358.75
Loyal Customers,2,3,495.2
Loyal Customers,46,4,552.17
Hibernating,34,1,208.06
Lost / Low Value,206,1,2.9
Hibernating,136,1,116.56
Hibernating,198,1,157.49
Hibernating,198,2,606.54
Hibernating,150,1,311.92
Hibernating,88,1,266.97
Lost / Low Value,64,1,5.9
Loyal Customers,64,7,1841.18
Loyal Customers,99,5,1407.13
Lost / Low Value,218,1,161.56
Champions (VIP),3,18,3469.3
Loyal Customers,28,3,726.0
Hibernating,178,1,76.67
Loyal Customers,21,4,1295.48
Loyal Customers,20,3,1087.25
Loyal Customers,34,7,1368.42
Loyal Customers,24,4,523.17
Loyal Customers,52,4,664.9
Hibernating,275,1,223.95000000000002
Occasional / At Risk,165,3,289.16
Champions (VIP),7,6,1681.0900000000001
Occasional / At Risk,144,3,417.7
Loyal Customers,64,7,2450.7200000000003
Occasional / At Risk,25,2,251.26000000000002
Hibernating,10,2,255.63
Hibernating,76,1,416.57
Hibernating,16,1,167.34
Lost / Low Value,192,1,95.7
Hibernating,174,2,376.8
Hibernating,77,1,279.35
Occasional / At Risk,33,3,290.3
Hibernating,47,1,617.84
Loyal Customers,80,4,1002.6
Hibernating,297,1,723.93
Loyal Customers,3,2,420.61
Loyal Customers,9,3,1259.63
Loyal Customers,50,6,2296.79
Lost / Low Value,161,2,93.02
Hibernating,360,2,294.55
Occasional / At Risk,5,5,235.86
Loyal Customers,107,4,1124.28
Hibernating,25,1,451.84
Occasional / At Risk,20,2,90.30000000000001
Lost / Low Value,297,1,169.50000000000003
Lost / Low Value,372,1,178.54999999999998
Loyal Customers,22,3,665.33
Loyal Customers,5,4,874.59
Loyal Customers,52,5,1367.54
Lost / Low Value,30,1,101.69999999999999
Hibernating,277,1,154.75
Occasional / At Risk,61,2,376.07
Occasional / At Risk,25,2,72.28
Loyal Customers,186,3,912.72
Champions (VIP),2,19,4755.91
Champions (VIP),2,26,4041.79
Hibernating,172,1,237.66
Hibernating,81,1,219.81
Hibernating,4,1,175.02
Hibernating,190,1,391.65000000000003
Loyal Customers,22,7,1050.32
Loyal Customers,19,3,896.97
Hibernating,5,1,384.63
Hibernating,110,1,356.17
Loyal Customers,3,4,1372.91
Lost / Low Value,54,1,119.62
Lost / Low Value,165,1,101.7
Occasional / At Risk,291,2,564.95
Champions (VIP),10,10,3659.3
Loyal Customers,109,5,1934.1000000000001
Occasional / At Risk,96,3,426.38
Occasional / At Risk,243,2,189.19000000000003
Occasional / At Risk,205,6,977.24
Loyal Customers,42,3,742.8
Occasional / At Risk,35,2,269.39
Loyal Customers,67,7,2316.6
Occasional / At Risk,24,2,174.1
Champions (VIP),1,20,6452.22
Occasional / At Risk,27,2,652.66
Loyal Customers,6,2,494.12
Hibernating,54,1,324.5
Lost / Low Value,364,1,35.7
Occasional / At Risk,15,5,287.28000000000003
Occasional / At Risk,194,2,561.4
Lost / Low Value,3,1,76.5
Champions (VIP),15,9,2176.71
Loyal Customers,27,3,1249.37
Loyal Customers,127,3,855.55
Occasional / At Risk,85,2,525.96
Hibernating,71,1,409.14
Lost / Low Value,183,1,105.84
Lost / Low Value,113,1,50.099999999999994
Hibernating,374,1,233.45
Occasional / At Risk,80,2,675.38
Lost / Low Value,249,1,361.95
Lost / Low Value,232,1,127.85000000000001
Loyal Customers,71,3,459.24
Hibernating,69,1,213.5
Champions (VIP),4,16,3584.33
Occasional / At Risk,51,2,104.47999999999999
Hibernating,75,1,123.44
Hibernating,61,1,341.96
Occasional / At Risk,16,2,193.85000000000002
Lost / Low Value,4,1,44.24
Lost / Low Value,286,1,145.04999999999998
Loyal Customers,4,6,658.1
Hibernating,41,1,159.74
Hibernating,36,1,497.21
Hibernating,75,2,465.97
Champions (VIP),18,12,2374.72
Champions (VIP),15,7,4808.900000000001
Lost / Low Value,219,1,75.66
Lost / Low Value,186,1,129.49
Loyal Customers,33,4,1036.76
Hibernating,70,1,586.79
Hibernating,183,1,305.79
Occasional / At Risk,15,2,420.52
Lost / Low Value,236,1,79.1
Loyal Customers,31,4,1561.08
Hibernating,264,1,226.21
Occasional / At Risk,4,2,144.96
Occasional / At Risk,52,4,282.71000000000004
Lost / Low Value,246,1,129.45
Loyal Customers,81,2,439.49
Hibernating,275,1,300.68
Champions (VIP),1,16,2337.14
Lost / Low Value,79,1,162.38
Loyal Customers,30,5,1963.05
Hibernating,74,2,328.95
Loyal Customers,17,6,2259.55
Occasional / At Risk,223,2,172.5
Loyal Customers,32,4,921.76
Loyal Customers,23,10,1125.55
Loyal Customers,31,3,974.01
Lost / Low Value,106,1,123.38
Occasional / At Risk,5,2,428.73
Hibernating,246,1,401.31
Hibernating,178,2,813.88
Occasional / At Risk,170,2,142.42000000000002
Hibernating,43,1,267.26
Hibernating,72,1,430.38
Loyal Customers,59,5,2879.15
Loyal Customers,16,2,1043.31
Occasional / At Risk,141,4,381.87
Champions (VIP),18,6,2721.36
Occasional / At Risk,22,12,1325.28
Loyal Customers,10,4,756.46
Lost / Low Value,368,1,91.44
Lost / Low Value,189,1,20.4
Occasional / At Risk,16,2,205.97
Lost / Low Value,362,1,39.25
Hibernating,19,1,118.98
Loyal Customers,68,2,469.98
Occasional / At Risk,15,6,286.56
Loyal Customers,24,2,1101.78
Champions (VIP),17,11,3472.7200000000003
Lost / Low Value,36,1,81.75
Champions (VIP),2,17,4005.3
Hibernating,55,2,293.84
Loyal Customers,34,4,1062.78
Champions (VIP),3,12,2564.91
Lost / Low Value,366,1,117.0
Lost / Low Value,43,1,149.7
Occasional / At Risk,78,5,939.64
Occasional / At Risk,5,5,363.42
Occasional / At Risk,4,8,1357.74
Hibernating,61,1,227.82
Champions (VIP),47,7,2273.28
Loyal Customers,1,4,1000.88
Hibernating,76,2,293.52
Occasional / At Risk,72,2,156.43
Loyal Customers,69,2,361.86
Occasional / At Risk,135,4,462.3
Lost / Low Value,241,1,50.85
Champions (VIP),9,13,4800.46
Champions (VIP),9,12,2023.07
Champions (VIP),1,20,6634.37
Loyal Customers,37,3,398.1
Hibernating,46,1,571.03
Loyal Customers,85,5,1667.8300000000002
Champions (VIP),19,10,2122.44
Occasional / At Risk,3,3,273.03000000000003
Champions (VIP),18,10,2515.83
Champions (VIP),19,15,4707.88
Hibernating,317,1,806.41
Lost / Low Value,78,1,99.39999999999999
Lost / Low Value,267,1,166.8
Champions (VIP),24,6,3239.63
Hibernating,369,1,482.93
Loyal Customers,15,7,1263.97
Hibernating,26,1,114.28
Hibernating,262,1,292.47
Champions (VIP),17,13,3271.29
Hibernating,108,1,246.99
Loyal Customers,302,6,578.48
Loyal Customers,26,5,1132.15
Hibernating,364,1,256.32
Loyal Customers,46,4,838.78
Champions (VIP),38,21,6348.52
Loyal Customers,52,3,627.87
Hibernating,32,1,540.33
Loyal Customers,52,3,462.16
Loyal Customers,79,5,1949.05
Lost / Low Value,298,1,3.75
Hibernating,177,1,238.75
Loyal Customers,29,7,2072.65
Champions (VIP),11,7,1034.02
Champions (VIP),87,17,4417.53
Champions (VIP),5,18,5265.54
Hibernating,38,2,590.73
Loyal Customers,18,5,1515.9
Loyal Customers,45,5,414.13
Hibernating,31,1,216.01999999999998
Lost / Low Value,373,1,77.7
Hibernating,58,1,198.92000000000002
Loyal Customers,114,3,1156.54
Hibernating,215,1,213.9
Lost / Low Value,319,1,106.83000000000001
Hibernating,65,1,207.86
Loyal Customers,8,3,643.1
Lost / Low Value,97,1,195.9
Loyal Customers,20,3,1110.3400000000001
Hibernating,199,1,287.45
Champions (VIP),4,13,2538.85
Hibernating,273,2,989.0
Champions (VIP),31,10,3910.87
Occasional / At Risk,48,3,223.69
Hibernating,260,1,206.19
Loyal Customers,58,5,683.0500000000001
Loyal Customers,33,5,1807.19
Hibernating,57,1,106.89
Loyal Customers,68,4,590.12
Champions (VIP),10,11,1271.1100000000001
Hibernating,60,1,356.59000000000003
Occasional / At Risk,80,2,134.32
Occasional / At Risk,74,2,228.94
Champions (VIP),2,22,7656.4800000000005
Loyal Customers,100,2,386.79
Hibernating,372,1,216.8
Champions (VIP),10,13,1786.3500000000001
Lost / Low Value,20,1,107.6
Loyal Customers,123,2,574.29
Lost / Low Value,8,1,80.8
Champions (VIP),4,6,1485.38
Champions (VIP),29,7,1414.38
Lost / Low Value,282,1,87.68
Hibernating,57,1,226.84
Champions (VIP),1,10,1114.82
Hibernating,365,1,392.18
Hibernating,89,1,305.62
Loyal Customers,11,1,817.98
Loyal Customers,163,4,884.03
Hibernating,65,1,332.3
Loyal Customers,23,3,445.84000000000003
Hibernating,174,2,365.31
Loyal Customers,103,4,607.16
Loyal Customers,143,3,934.6899999999999
Occasional / At Risk,99,2,222.97
Loyal Customers,23,5,882.59
Hibernating,192,1,289.64
Loyal Customers,5,2,464.23
Lost / Low Value,361,1,204.15
Champions (VIP),8,10,1385.57
Champions (VIP),14,21,4873.4800000000005
Occasional / At Risk,103,4,401.16
Champions (VIP),3,9,1262.71
Champions (VIP),11,11,3091.15
Hibernating,96,1,415.94
Hibernating,227,1,269.68
Occasional / At Risk,16,2,402.74
Occasional / At Risk,39,2,521.48
Hibernating,51,1,279.45
Lost / Low Value,112,1,113.5
Lost / Low Value,157,1,181.32
Hibernating,39,1,325.91
Lost / Low Value,217,1,39.0
Loyal Customers,1,4,1021.53
Hibernating,228,1,413.46
Occasional / At Risk,128,2,133.15
Occasional / At Risk,40,2,175.55
Champions (VIP),31,9,2083.25
Occasional / At Risk,197,2,353.9
Champions (VIP),9,29,3731.29
Loyal Customers,37,6,1692.7
Loyal Customers,101,3,935.49
Champions (VIP),43,16,7099.72
Hibernating,50,1,197.82
Hibernating,43,1,176.94
Hibernating,53,1,281.42
Lost / Low Value,187,1,84.77
Hibernating,334,1,317.29
Loyal Customers,4,3,322.28999999999996
Occasional / At Risk,10,2,70.96000000000001
Hibernating,24,2,285.8
Lost / Low Value,15,1,35.400000000000006
Lost / Low Value,369,1,320.04
Loyal Customers,145,2,587.63
Occasional / At Risk,60,2,112.80000000000001
Occasional / At Risk,31,2,438.88
Occasional / At Risk,141,3,108.24000000000001
Loyal Customers,23,4,690.79
Loyal Customers,22,6,2267.2400000000002
Champions (VIP),5,6,5218.74
Loyal Customers,67,5,1643.83
Loyal Customers,12,6,772.77
Lost / Low Value,84,1,13.3
Loyal Customers,31,7,809.37
Occasional / At Risk,67,3,529.47
Occasional / At Risk,187,2,208.78
Hibernating,38,2,399.96
Loyal Customers,15,3,326.26
Hibernating,35,1,167.58
Loyal Customers,195,3,1273.84
Champions (VIP),2,5,615.9300000000001
Loyal Customers,1,5,367.99
Hibernating,367,1,126.03
Hibernating,65,1,175.12
Hibernating,299,2,154.23000000000002
Loyal Customers,26,3,441.54
Loyal Customers,8,6,811.56
Loyal Customers,20,2,748.95
Hibernating,116,1,1094.69
Hibernating,29,1,326.8
Champions (VIP),4,14,2624.73
Champions (VIP),5,7,2036.51
Loyal Customers,82,4,332.58000000000004
Loyal Customers,29,5,733.21
Hibernating,72,1,213.72
Champions (VIP),4,8,1136.41
Champions (VIP),29,11,1691.08
Lost / Low Value,290,1,53.44
Hibernating,36,1,113.86
Occasional / At Risk,9,5,305.63
Loyal Customers,24,2,498.18
Lost / Low Value,277,1,121.9
Loyal Customers,50,6,923.52
Loyal Customers,156,11,1592.8
Hibernating,61,1,145.93
Champions (VIP),12,17,5265.91
Loyal Customers,21,3,681.39
Lost / Low Value,371,1,33.45
Occasional / At Risk,276,2,139.85
Champions (VIP),80,17,1867.22
Champions (VIP),4,7,1211.81
Loyal Customers,26,3,292.17
Champions (VIP),5,21,4190.9
Hibernating,53,1,133.73000000000002
Loyal Customers,1,2,452.36
Hibernating,55,2,786.38
Hibernating,26,1,246.11
Champions (VIP),9,4,1712.49
Loyal Customers,52,3,2879.89
Champions (VIP),13,9,1504.19
Occasional / At Risk,212,3,431.18
Champions (VIP),22,19,4126.04
Hibernating,236,1,339.48
Occasional / At Risk,139,3,212.9
Loyal Customers,4,6,674.72
Occasional / At Risk,57,3,741.3000000000001
Loyal Customers,135,3,1125.06
Lost / Low Value,109,2,101.75999999999999
Lost / Low Value,30,1,20.8
Champions (VIP),1,7,1026.71
Occasional / At Risk,185,4,373.87
Hibernating,18,1,225.04
Hibernating,239,2,376.84000000000003
Lost / Low Value,87,1,117.35000000000001
Loyal Customers,39,3,486.65000000000003
Hibernating,116,1,234.17
Lost / Low Value,187,1,110.55000000000001
Hibernating,227,1,117.4
Occasional / At Risk,45,2,116.05
Hibernating,189,1,305.09999999999997
Loyal Customers,4,2,370.73
Loyal Customers,39,3,522.2
Hibernating,38,1,116.21
Hibernating,78,1,294.43
Loyal Customers,4,6,1137.33
Hibernating,255,2,738.51
Hibernating,61,1,384.06
Champions (VIP),13,7,1529.87
Loyal Customers,88,2,2944.9
Champions (VIP),17,9,3875.84
Lost / Low Value,30,1,20.8
Champions (VIP),3,6,879.6
Lost / Low Value,5,1,67.87
Occasional / At Risk,7,3,110.54999999999998
Loyal Customers,11,5,1302.16
Occasional / At Risk,30,6,1335.2800000000002
Occasional / At Risk,288,2,117.0
Occasional / At Risk,150,3,105.4
Occasional / At Risk,23,2,289.92
Champions (VIP),1,11,3317.16
Occasional / At Risk,86,3,801.3
Loyal Customers,46,2,665.64
Loyal Customers,5,4,703.9300000000001
Loyal Customers,51,6,675.91
Hibernating,18,1,171.96
Hibernating,30,1,270.9
Loyal Customers,8,3,484.98
Loyal Customers,29,3,1743.84
Champions (VIP),3,19,5224.44
Occasional / At Risk,41,2,748.5
Loyal Customers,11,4,1115.28
Lost / Low Value,31,1,71.0
